Country,Year, Electricity/Heat  (MtCO??), Manufacturing/Construction  (MtCO??), Transportation  (MtCO??), Other Fuel Combustion  (MtCO??), Fugitive Emissions (MtCO??)
Ethiopia,1974,0.34,0.3,0.6,0.1,
Fiji,1974,,,,,
Finland,1974,11.09,16.54,6.96,9.92,
France,1974,124.66,138.64,71.06,130.24,
Gabon,1974,0.06,0.41,0.04,0.05,
Gambia,1974,,,,,
Georgia,1974,,,,,
Germany,1974,409.39,270.65,101.76,246.74,
Ghana,1974,0.18,0.46,1.13,0.45,
Greece,1974,13.19,8.54,5.03,5.89,
Grenada,1974,,,,,
Guatemala,1974,0.58,0.85,1.01,0.29,
Guinea,1974,,,,,
Guinea-Bissau,1974,,,,,
Guyana,1974,,,,,
Haiti,1974,0.01,0.2,0.17,0.02,
Honduras,1974,0.17,0.38,0.5,0.19,
Hungary,1974,25.25,18.78,7.46,17.26,
Iceland,1974,0.06,0.39,0.34,0.87,
India,1974,60.87,78.48,49.71,36.57,
Indonesia,1974,8.58,6.4,10.52,9.74,
Iran,1974,15.58,16.59,11.98,18.02,
Iraq,1974,4.62,2.16,3.38,2.67,
Ireland,1974,7.28,5.34,3.47,6.55,
Israel,1974,7.64,3.49,3.44,1.88,
Italy,1974,96.41,108.6,51.29,78.62,
Jamaica,1974,2.2,3.19,1.48,0.51,
Japan,1974,342.47,310.53,119.61,122.11,
Jordan,1974,0.46,0.16,0.81,0.37,
Kazakhstan,1974,,,,,
Kenya,1974,0.51,0.73,1.62,0.71,
Kiribati,1974,,,,,
Korea (North),1974,10.29,49.04,2.46,12.31,
Korea (South),1974,15.76,20.1,7.02,27.88,
Kuwait,1974,7,2.96,2.06,3.67,
Kyrgyzstan,1974,,,,,
Laos,1974,,,,,
Latvia,1974,,,,,
Lebanon,1974,1.74,1.41,1.77,1.51,
Lesotho,1974,,,,,
Liberia,1974,,,,,
Libya,1974,3.29,1.02,2.05,0.42,
Lithuania,1974,,,,,
Luxembourg,1974,2.7,10.35,0.67,1.4,
"Macedonia, FYR",1974,1.888489259,1.970947791,1.092811953,0.371835211,
Madagascar,1974,,,,,
Malawi,1974,,,,,
Malaysia,1974,3.4,6,4.87,0.85,
Maldives,1974,,,,,
Mali,1974,,,,,
Malta,1974,0.4,0,0.21,0.11,
Mauritania,1974,,,,,
Mauritius,1974,,,,,
Mexico,1974,37.92,40.17,39.42,14.26,
Moldova,1974,,,,,
Mongolia,1974,,,,,
Montenegro,1974,,,,,
Morocco,1974,2.2,3.79,1.99,1.42,
Mozambique,1974,0.46,1.3,0.2,0.67,
Myanmar,1974,0.46,1.27,1.56,0.8,
Namibia,1974,,,,,
Nauru,1974,,,,,
Nepal,1974,0.03,0.19,0.06,0.09,
Netherlands,1974,45.79,39.62,17.67,42.76,
New Zealand,1974,3.81,5.58,6.2,2.53,
Nicaragua,1974,0.44,0.29,0.87,0.21,
Niger,1974,,,,,
Nigeria,1974,1.75,2.34,4.5,1.28,
Niue,1974,,,,,
Norway,1974,0.76,10.69,6.75,5,
Oman,1974,0.09,0.04,0.18,0.15,
Pakistan,1974,3.56,7.19,3.4,4.52,
Palau,1974,,,,,
Panama,1974,1.53,0.45,0.91,0.11,
Papua New Guinea,1974,,,,,
Paraguay,1974,0.09,0.08,0.46,0.04,
Peru,1974,2.87,4.87,5.96,3.93,
Philippines,1974,7.87,5.96,9.26,3.04,
Poland,1974,172.23,60.54,29.3,62.47,
Portugal,1974,3.62,5.83,4.71,2.46,
Qatar,1974,1.48,1.09,0.39,0.02,
Romania,1974,53.63,44.4,7.23,24.63,
Russian Federation,1974,,,,,
Rwanda,1974,,,,,
Saint Kitts & Nevis,1974,,,,,
Saint Lucia,1974,,,,,
Saint Vincent & Grenadines,1974,,,,,
Samoa,1974,,,,,
Sao Tome & Principe,1974,,,,,
Saudi Arabia,1974,10.67,3.89,4.87,0.76,
Senegal,1974,0.45,0.44,0.5,0.07,
Serbia,1974,12.39084268,10.89502167,3.843397477,3.815026386,
Seychelles,1974,,,,,
Sierra Leone,1974,,,,,
Singapore,1974,5.9,0.66,1.72,0.25,
Slovakia,1974,10.58,19.18,4.8,7.81,
Slovenia,1974,1.64961529,3.027236196,2.056856663,1.367059642,
Solomon Islands,1974,,,,,
South Africa,1974,85.61,53.44,27.99,17.17,
Spain,1974,44.71,56.57,34.79,15.61,
Sri Lanka,1974,0.23,0.6,1.44,0.67,
Sudan,1974,0.2,1.53,2.5,0.11,
Suriname,1974,,,,,
Swaziland,1974,,,,,
Sweden,1974,9.87,23.93,14.94,28.39,
Switzerland,1974,2.05,8.91,9.47,18.12,
Syria,1974,1.22,3.54,1.91,0.92,
Taiwan,1974,13.94,15.57,3.93,4.94,
Tajikistan,1974,,,,,
Tanzania,1974,0.26,0.35,0.75,0.23,
Thailand,1974,4.45,4.7,6.52,4.98,
Togo,1974,0.06,0,0.18,0.02,
Tonga,1974,,,,,
Trinidad & Tobago,1974,3.99,1.34,0.88,0.14,
Tunisia,1974,1.19,1.34,1.17,1.02,
Turkey,1974,13.7,11.87,14.2,15.12,
Turkmenistan,1974,,,,,
Uganda,1974,,,,,
Ukraine,1974,,,,,
United Arab Emirates,1974,0.69,1.66,1,0,
United Kingdom,1974,252.55,147.43,78.98,120.31,
United States of America,1974,1632.51,911.1,1172.21,832.45,
Uruguay,1974,1.16,1.46,1.63,0.9,
Uzbekistan,1974,,,,,
Vanuatu,1974,,,,,
Venezuela,1974,28.75,14.38,16.95,3.54,
Vietnam,1974,1.79,0.09,2.26,10.14,
Yemen,1974,0.39,0,1.23,0.2,
Zambia,1974,0.47,2.75,0.68,0.32,
Zimbabwe,1974,1.96,2.43,1.91,1.34,
World,1974,5247.21,4177.32,2635.54,3013.06,
European Union (15),1974,1088.3,899.64,422.07,755.19,
European Union (28),1974,1422.922159,1129.1125,488.2099349,931.2368172,
Afghanistan,1975,,,,,
Albania,1975,0.79,1.1,0.85,1.72,
Algeria,1975,5.13,2.35,3.62,2.94,
Angola,1975,0.43,0.36,1.09,0.11,
Antigua & Barbuda,1975,,,,,
Argentina,1975,28.14,16.22,25.06,16.07,
Armenia,1975,,,,,
Australia,1975,80.71,47.48,40.3,11.54,
Austria,1975,11.12,14.92,10.55,13.58,
Azerbaijan,1975,,,,,
Bahamas,1975,,,,,
Bahrain,1975,2.78,2.13,0.36,0.05,
Bangladesh,1975,1.02,1.81,0.62,1.21,
Barbados,1975,,,,,
Belarus,1975,,,,,
Belgium,1975,32.45,35.73,13.29,34.12,
Belize,1975,,,,,
Benin,1975,0.01,0.02,0.35,0.08,
Bhutan,1975,,,,,
Bolivia,1975,0.51,0.67,1.49,0.54,
Bosnia & Herzegovina,1975,2.548699093,5.850369684,1.716499107,2.959989046,
Botswana,1975,,,,,
Brazil,1975,14.57,44.18,65.43,11.48,
Brunei,1975,1.22,0.07,0.1,0.02,
Bulgaria,1975,27.01,10.72,4.54,29.9,
Burkina Faso,1975,,,,,
Burundi,1975,,,,,
Cambodia,1975,,,,,
Cameroon,1975,0.04,0.13,0.74,0.12,
Canada,1975,87.78,93.36,103.4,93.4,
Cape Verde,1975,,,,,
Central African Republic,1975,,,,,
Chad,1975,,,,,
Chile,1975,4.66,5.27,4.48,2.57,
China,1975,188.33,539.49,68.24,272.39,
Colombia,1975,5.51,8.76,9.21,4.84,
Comoros,1975,,,,,
Congo,1975,0.06,0.11,0.39,0.05,
"Congo, Dem. Republic",1975,0.07,0.81,0.56,1.14,
Cook Islands,1975,,,,,
Costa Rica,1975,0.28,0.39,0.98,0.08,
Cote d'Ivoire,1975,0.7,0.99,1,0.32,
Croatia,1975,4.332835866,6.609304259,3.786551291,2.134514732,
Cuba,1975,6.53,8.39,4.53,4.3,
Cyprus,1975,0.7,0.44,0.44,0.1,
Czech Republic,1975,44.53,66.16,6.67,35.23,
Denmark,1975,16.63,7.55,8.57,19.73,
Djibouti,1975,,,,,
Dominica,1975,,,,,
Dominican Republic,1975,2.58,0.65,1.73,0.19,
Ecuador,1975,1.28,0.79,2.63,1.22,
Egypt,1975,4.06,11.97,4.51,5.1,
El Salvador,1975,0.6,0.54,0.75,0.12,
Equatorial Guinea,1975,,,,,
Eritrea,1975,,,,,
Estonia,1975,,,,,
Ethiopia,1975,0.34,0.24,0.52,0.08,
Fiji,1975,,,,,
Finland,1975,11.47,14.31,7.47,11.13,
France,1975,114.97,120.07,73.29,122.3,
Gabon,1975,0.08,0.57,0.04,0.06,
Gambia,1975,,,,,
Georgia,1975,,,,,
Germany,1975,381.82,246.87,105.42,241.39,
Ghana,1975,0.17,0.51,1.21,0.45,
Greece,1975,14.62,8.68,5.07,6.17,
Grenada,1975,,,,,
Guatemala,1975,0.84,0.71,1.14,0.35,
Guinea,1975,,,,,
Guinea-Bissau,1975,,,,,
Guyana,1975,,,,,
Haiti,1975,0.01,0.17,0.2,0.02,
Honduras,1975,0.19,0.4,0.52,0.21,
Hungary,1975,28.1,18.34,7.55,16.73,
Iceland,1975,0.06,0.3,0.38,0.87,
India,1975,66.71,85.96,51.51,37.05,
Indonesia,1975,7.07,8.18,11.53,11.19,
Iran,1975,17.19,18.45,14.83,21.09,
Iraq,1975,5.22,2.89,4.31,3.1,
Ireland,1975,6.93,4.49,3.45,6.22,
Israel,1975,7.91,3.69,3.53,1.92,
Italy,1975,91.42,94.61,54.41,79.13,
Jamaica,1975,1.27,4.16,1.18,0.8,
Japan,1975,330.76,280.53,124.79,120.21,
Jordan,1975,0.5,0.19,1,0.43,
Kazakhstan,1975,,,,,
Kenya,1975,0.51,0.74,1.49,0.73,
Kiribati,1975,,,,,
Korea (North),1975,11.19,50.29,2.78,12.49,
Korea (South),1975,20.47,20.57,7.12,28.6,
Kuwait,1975,7.06,2.68,2.01,3.32,
Kyrgyzstan,1975,,,,,
Laos,1975,,,,,
Latvia,1975,,,,,
Lebanon,1975,1.48,1.23,1.47,1.47,
Lesotho,1975,,,,,
Liberia,1975,,,,,
Libya,1975,4.36,1.65,2.62,0.56,
Lithuania,1975,,,,,
Luxembourg,1975,1.99,7.93,0.84,1.34,
"Macedonia, FYR",1975,2.058230205,1.9085847,1.057476551,0.385330663,
Madagascar,1975,,,,,
Malawi,1975,,,,,
Malaysia,1975,4.06,5.89,5.12,1.03,
Maldives,1975,,,,,
Mali,1975,,,,,
Malta,1975,0.37,0,0.18,0.09,
Mauritania,1975,,,,,
Mauritius,1975,,,,,
Mexico,1975,35.51,44.26,42.24,16.79,
Moldova,1975,,,,,
Mongolia,1975,,,,,
Montenegro,1975,,,,,
Morocco,1975,2.74,3.51,2.14,1.56,
Mozambique,1975,0.39,1.2,0.17,0.58,
Myanmar,1975,0.53,1.5,1.36,0.6,
Namibia,1975,,,,,
Nauru,1975,,,,,
Nepal,1975,0.03,0.11,0.07,0.11,
Netherlands,1975,42.19,33.7,19.02,45.87,
New Zealand,1975,2.76,4.85,6.53,2.92,
Nicaragua,1975,0.49,0.25,0.89,0.21,
Niger,1975,,,,,
Nigeria,1975,2.15,2.77,5.35,1.47,
Niue,1975,,,,,
Norway,1975,1.4,10.16,7.91,4.62,
Oman,1975,0.14,0.05,0.25,0.28,
Pakistan,1975,4.03,7.85,3.82,5.2,
Palau,1975,,,,,
Panama,1975,1.64,0.42,0.93,0.13,
Papua New Guinea,1975,,,,,
Paraguay,1975,0.08,0.09,0.47,0.05,
Peru,1975,2.9,5.74,6.33,3.45,
Philippines,1975,8.65,7.45,9.7,3.23,
Poland,1975,177.96,62.47,30.53,67.23,
Portugal,1975,4.45,5.81,5.34,2.53,
Qatar,1975,2.46,1.98,0.44,0.02,
Romania,1975,48.84,57.68,8.55,25.49,
Russian Federation,1975,,,,,
Rwanda,1975,,,,,
Saint Kitts & Nevis,1975,,,,,
Saint Lucia,1975,,,,,
Saint Vincent & Grenadines,1975,,,,,
Samoa,1975,,,,,
Sao Tome & Principe,1975,,,,,
Saudi Arabia,1975,11.55,4.13,5.97,0.84,
Senegal,1975,0.66,0.32,0.54,0.08,
Serbia,1975,13.50747102,10.55029045,3.719123584,3.953489616,
Seychelles,1975,,,,,
Sierra Leone,1975,,,,,
Singapore,1975,5.72,0.68,1.84,0.22,
Slovakia,1975,10.92,20.63,4.17,8.11,
Slovenia,1975,1.802763816,2.931450906,1.990349468,1.416675942,
Solomon Islands,1975,,,,,
South Africa,1975,96.9,55.75,30.93,17.93,
Spain,1975,50.6,53.41,35.94,16.55,
Sri Lanka,1975,0.19,0.55,1.3,0.64,
Sudan,1975,0.2,0.84,2.14,0.11,
Suriname,1975,,,,,
Swaziland,1975,,,,,
Sweden,1975,6.47,24.79,15.41,32.73,
Switzerland,1975,2.02,8.08,8.98,17.6,
Syria,1975,1.16,4.06,2.49,1.33,
Taiwan,1975,15.72,16.74,4.59,5.42,
Tajikistan,1975,,,,,
Tanzania,1975,0.32,0.27,0.74,0.17,
Thailand,1975,4.54,5.13,6.89,4.61,
Togo,1975,0.04,0,0.24,0.02,
Tonga,1975,,,,,
Trinidad & Tobago,1975,3.33,1.47,0.89,0.15,
Tunisia,1975,1.24,1.29,1.24,1.03,
Turkey,1975,14.43,13.58,16.19,15,
Turkmenistan,1975,,,,,
Uganda,1975,,,,,
Ukraine,1975,,,,,
United Arab Emirates,1975,1,2.25,1.63,0,
United Kingdom,1975,244.55,140.88,77.64,116.42,
United States of America,1975,1568.43,784.66,1187.02,820.72,
Uruguay,1975,1.45,1.52,1.65,0.85,
Uzbekistan,1975,,,,,
Vanuatu,1975,,,,,
Venezuela,1975,25.31,14.69,19.11,3.7,
Vietnam,1975,2.09,0.06,2.26,12.3,
Yemen,1975,0.35,0,1.01,0.37,
Zambia,1975,0.48,2.84,0.73,0.34,
Zimbabwe,1975,0.84,2.74,2.12,1.48,
World,1975,5264.4,4078.76,2747.55,3090.08,
European Union (15),1975,1031.68,813.75,435.71,749.21,
European Union (28),1975,1376.2456,1059.730755,504.1169008,935.6411907,
Afghanistan,1976,,,,,
Albania,1976,0.8,1.21,0.99,1.88,
Algeria,1976,5.94,2.66,4.08,3.75,
Angola,1976,0.44,0.32,1.1,0.09,
Antigua & Barbuda,1976,,,,,
Argentina,1976,29.53,17.61,25.01,17.41,
Armenia,1976,,,,,
Australia,1976,83.03,46.41,41.59,11.39,
Austria,1976,13.96,15.02,10.76,14.57,
Azerbaijan,1976,,,,,
Bahamas,1976,,,,,
Bahrain,1976,3.08,2.17,0.47,0.05,
Bangladesh,1976,1.08,2.11,0.65,1.38,
Barbados,1976,,,,,
Belarus,1976,,,,,
Belgium,1976,37.88,40.37,14.13,32.08,
Belize,1976,,,,,
Benin,1976,0.01,0.02,0.18,0.07,
Bhutan,1976,,,,,
Bolivia,1976,0.54,0.76,1.65,0.58,
Bosnia & Herzegovina,1976,3.090387731,5.052114574,1.740281083,2.959989046,
Botswana,1976,,,,,
Brazil,1976,15.24,51.07,70.62,12.65,
Brunei,1976,1.61,0.08,0.14,0.02,
Bulgaria,1976,27.29,10.86,4.49,29.48,
Burkina Faso,1976,,,,,
Burundi,1976,,,,,
Cambodia,1976,,,,,
Cameroon,1976,0.05,0.11,0.69,0.11,
Canada,1976,90.71,95.81,108.11,97.66,
Cape Verde,1976,,,,,
Central African Republic,1976,,,,,
Chad,1976,,,,,
Chile,1976,5.05,5.48,4.57,2.67,
China,1976,195.7,568.56,69.33,276.7,
Colombia,1976,6.03,9.38,9.82,4.81,
Comoros,1976,,,,,
Congo,1976,0.06,0.11,0.51,0.06,
"Congo, Dem. Republic",1976,0.15,0.87,0.52,1.1,
Cook Islands,1976,,,,,
Costa Rica,1976,0.25,0.38,1.07,0.09,
Cote d'Ivoire,1976,0.97,0.91,1.2,0.38,
Croatia,1976,5.27940817,5.707496137,3.839013697,2.134514732,
Cuba,1976,7.13,8.88,4.54,4.18,
Cyprus,1976,0.79,0.59,0.47,0.11,
Czech Republic,1976,47.06,66.91,7.11,36.28,
Denmark,1976,18.63,8.53,8.78,22.16,
Djibouti,1976,,,,,
Dominica,1976,,,,,
Dominican Republic,1976,2.37,0.91,1.79,0.21,
Ecuador,1976,1.56,0.89,2.92,1.47,
Egypt,1976,4.81,14.15,5.12,5.85,
El Salvador,1976,0.49,0.58,0.86,0.13,
Equatorial Guinea,1976,,,,,
Eritrea,1976,,,,,
Estonia,1976,,,,,
Ethiopia,1976,0.29,0.26,0.54,0.1,
Fiji,1976,,,,,
Finland,1976,16.77,14.92,7.54,11.29,
France,1976,143.36,121.77,79.95,124.27,
Gabon,1976,0.11,0.92,0.08,0.06,
Gambia,1976,,,,,
Georgia,1976,,,,,
Germany,1976,417.86,247.23,106.98,260.17,
Ghana,1976,0.16,0.51,1.26,0.46,
Greece,1976,16.64,9.32,7.21,5.96,
Grenada,1976,,,,,
Guatemala,1976,1,0.61,0.97,0.34,
Guinea,1976,,,,,
Guinea-Bissau,1976,,,,,
Guyana,1976,,,,,
Haiti,1976,0.02,0.27,0.25,0.03,
Honduras,1976,0.24,0.41,0.54,0.23,
Hungary,1976,29.84,19.83,7.39,17.26,
Iceland,1976,0.04,0.35,0.41,0.79,
India,1976,75.34,91.92,50.58,40.27,
Indonesia,1976,6.29,8.41,12.18,12.07,
Iran,1976,18.9,20.17,17.79,24.09,
Iraq,1976,6.58,3.75,5.44,3.48,
Ireland,1976,7.36,4.82,3.53,6.42,
Israel,1976,8.05,3.63,3.56,1.85,
Italy,1976,104.86,102.23,56.83,81.67,
Jamaica,1976,1.32,3.22,1.1,0.53,
Japan,1976,340.78,287.37,131.14,125.91,
Jordan,1976,0.71,0.22,1.2,0.49,
Kazakhstan,1976,,,,,
Kenya,1976,0.72,0.92,1.58,0.74,
Kiribati,1976,,,,,
Korea (North),1976,11.7,54.61,2.65,13.59,
Korea (South),1976,22.96,23.5,7.84,31.08,
Kuwait,1976,7.87,2.89,2.1,3.58,
Kyrgyzstan,1976,,,,,
Laos,1976,,,,,
Latvia,1976,,,,,
Lebanon,1976,1.56,0.89,1.52,1.22,
Lesotho,1976,,,,,
Liberia,1976,,,,,
Libya,1976,4.32,1.45,2.89,0.54,
Lithuania,1976,,,,,
Luxembourg,1976,1.72,8.88,0.89,1.48,
"Macedonia, FYR",1976,2.495676869,1.648167398,1.072127815,0.385330663,
Madagascar,1976,,,,,
Malawi,1976,,,,,
Malaysia,1976,4.82,6.25,5.43,1,
Maldives,1976,,,,,
Mali,1976,,,,,
Malta,1976,0.43,0,0.19,0.11,
Mauritania,1976,,,,,
Mauritius,1976,,,,,
Mexico,1976,37.71,48.54,45.88,17.67,
Moldova,1976,,,,,
Mongolia,1976,,,,,
Montenegro,1976,,,,,
Morocco,1976,3.11,3.81,2.25,1.74,
Mozambique,1976,0.41,1.16,0.19,0.64,
Myanmar,1976,0.76,1.61,1.44,0.46,
Namibia,1976,,,,,
Nauru,1976,,,,,
Nepal,1976,0.03,0.02,0.08,0.11,
Netherlands,1976,42.78,37.25,21.95,50.88,
New Zealand,1976,4.27,4.96,6.58,3.03,
Nicaragua,1976,0.58,0.29,0.99,0.25,
Niger,1976,,,,,
Nigeria,1976,2.42,3.38,7.09,1.92,
Niue,1976,,,,,
Norway,1976,1.99,10.75,7.51,5.62,
Oman,1976,0.25,0.06,0.34,0.49,
Pakistan,1976,3.42,7.48,4.13,4.93,
Palau,1976,,,,,
Panama,1976,1.55,0.45,0.99,0.14,
Papua New Guinea,1976,,,,,
Paraguay,1976,0.08,0.1,0.54,0.05,
Peru,1976,3.09,5.77,6.12,3.76,
Philippines,1976,8.66,7.1,9.93,3.38,
Poland,1976,192.65,65.26,29.75,73.67,
Portugal,1976,5.25,6.36,5.4,2.41,
Qatar,1976,1.45,1.5,0.63,0.03,
Romania,1976,55.7,66.31,8.9,22.53,
Russian Federation,1976,,,,,
Rwanda,1976,,,,,
Saint Kitts & Nevis,1976,,,,,
Saint Lucia,1976,,,,,
Saint Vincent & Grenadines,1976,,,,,
Samoa,1976,,,,,
Sao Tome & Principe,1976,,,,,
Saudi Arabia,1976,13.96,4.38,7.09,0.91,
Senegal,1976,0.53,0.47,0.59,0.09,
Serbia,1976,16.37840813,9.110753514,3.770651783,3.953489616,
Seychelles,1976,,,,,
Sierra Leone,1976,,,,,
Singapore,1976,6.11,0.87,2.02,0.21,
Slovakia,1976,11.17,20.69,4.19,8.27,
Slovenia,1976,2.186119098,2.531468377,2.017925622,1.416675942,
Solomon Islands,1976,,,,,
South Africa,1976,104.9,62.06,29.18,18.7,
Spain,1976,60.94,56.22,39.45,16.78,
Sri Lanka,1976,0.22,0.5,1.42,0.62,
Sudan,1976,0.2,1.41,1.58,0.11,
Suriname,1976,,,,,
Swaziland,1976,,,,,
Sweden,1976,9.6,24.24,16.49,35.95,
Switzerland,1976,2.08,7.88,8.98,19.58,
Syria,1976,1.16,4.27,3.07,1.41,
Taiwan,1976,20.09,17.95,5.43,6.51,
Tajikistan,1976,,,,,
Tanzania,1976,0.29,0.34,0.74,0.12,
Thailand,1976,5.49,5.66,8.2,4.76,
Togo,1976,0.04,0,0.19,0.03,
Tonga,1976,,,,,
Trinidad & Tobago,1976,3.97,1.35,0.92,0.16,
Tunisia,1976,1.37,1.24,1.36,1.11,
Turkey,1976,15.9,15.64,17.46,17.22,
Turkmenistan,1976,,,,,
Uganda,1976,,,,,
Ukraine,1976,,,,,
United Arab Emirates,1976,1.43,2.74,2.16,0,
United Kingdom,1976,250.12,138.55,80.48,116.14,
United States of America,1976,1676.5,839.26,1240.47,871.89,
Uruguay,1976,1.41,1.55,1.75,0.88,
Uzbekistan,1976,,,,,
Vanuatu,1976,,,,,
Venezuela,1976,24.99,17.32,21.35,3.85,
Vietnam,1976,2.61,0.17,0.75,8.07,
Yemen,1976,0.39,0,1.51,0.25,
Zambia,1976,0.44,2.78,0.76,0.37,
Zimbabwe,1976,1.24,3.33,1.83,1.53,
World,1976,5654.5,4276.08,2867.72,3211.44,
European Union (15),1976,1147.73,835.71,460.37,782.23,
European Union (28),1976,1520.125527,1094.398965,528.7169393,973.4911907,
Afghanistan,1977,,,,,
Albania,1977,0.86,1.35,1.02,1.99,
Algeria,1977,7.04,3.01,4.49,3.76,
Angola,1977,0.46,0.33,0.64,0.1,
Antigua & Barbuda,1977,,,,,
Argentina,1977,32.25,15.6,26.97,18.43,
Armenia,1977,,,,,
Australia,1977,92.43,48.12,44.29,11.89,
Austria,1977,11.57,14.85,11.21,14.17,
Azerbaijan,1977,,,,,
Bahamas,1977,,,,,
Bahrain,1977,3.6,2.17,0.58,0.05,
Bangladesh,1977,1.21,2.09,0.63,1.39,
Barbados,1977,,,,,
Belarus,1977,,,,,
Belgium,1977,37.87,38.35,14.82,32.44,
Belize,1977,,,,,
Benin,1977,0.01,0.02,0.23,0.07,
Bhutan,1977,,,,,
Bolivia,1977,0.63,0.61,1.9,0.61,
Bosnia & Herzegovina,1977,3.263343749,5.512161598,1.836807927,3.115490775,
Botswana,1977,,,,,
Brazil,1977,16.27,55.67,68.75,13.27,
Brunei,1977,1.76,0.03,0.17,0.02,
Bulgaria,1977,31.28,10.09,4.36,29.09,
Burkina Faso,1977,,,,,
Burundi,1977,,,,,
Cambodia,1977,,,,,
Cameroon,1977,0.06,0.17,1,0.16,
Canada,1977,99.15,100.93,109.59,96.07,
Cape Verde,1977,,,,,
Central African Republic,1977,,,,,
Chad,1977,,,,,
Chile,1977,5.17,5.81,4.8,2.78,
China,1977,220.6,643.7,77.17,312.6,
Colombia,1977,6.37,10.39,10.21,4.02,
Comoros,1977,,,,,
Congo,1977,0.08,0.12,0.38,0.06,
"Congo, Dem. Republic",1977,0.13,0.88,0.46,1.28,
Cook Islands,1977,,,,,
Costa Rica,1977,0.47,0.56,1.17,0.1,
Cote d'Ivoire,1977,1.15,0.54,1.29,0.41,
Croatia,1977,4.797673937,6.227222397,4.051949344,2.246650529,
Cuba,1977,7.8,10.26,4.72,4.24,
Cyprus,1977,0.85,0.68,0.51,0.11,
Czech Republic,1977,49.39,71.35,7.49,38.67,
Denmark,1977,20.38,8.64,8.98,21.69,
Djibouti,1977,,,,,
Dominica,1977,,,,,
Dominican Republic,1977,2.72,0.85,1.82,0.22,
Ecuador,1977,2.01,0.98,3.57,1.51,
Egypt,1977,6,14.37,5.85,6.03,
El Salvador,1977,0.41,0.66,0.94,0.14,
Equatorial Guinea,1977,,,,,
Eritrea,1977,,,,,
Estonia,1977,,,,,
Ethiopia,1977,0.23,0.27,0.57,0.11,
Fiji,1977,,,,,
Finland,1977,16.12,14.17,7.6,12.29,
France,1977,131.86,120.56,80.66,122.24,
Gabon,1977,0.05,0.77,0.43,0.06,
Gambia,1977,,,,,
Georgia,1977,,,,,
Germany,1977,408.83,240.12,112.86,255.36,
Ghana,1977,0.16,0.49,1.35,0.52,
Greece,1977,17.4,9.55,7.88,5.52,
Grenada,1977,,,,,
Guatemala,1977,1.21,0.6,1.19,0.37,
Guinea,1977,,,,,
Guinea-Bissau,1977,,,,,
Guyana,1977,,,,,
Haiti,1977,0.04,0.25,0.26,0.03,
Honduras,1977,0.3,0.44,0.57,0.26,
Hungary,1977,31.7,20.3,8.05,17.82,
Iceland,1977,0.04,0.37,0.41,0.81,
India,1977,74.18,94.92,51.87,41.97,
Indonesia,1977,9.55,11.1,13.19,13.43,
Iran,1977,19.86,23.58,20.68,27.82,
Iraq,1977,6.66,3.58,6.3,3.6,
Ireland,1977,7.62,5.11,3.94,7.03,
Israel,1977,8.89,3.51,3.61,1.87,
Italy,1977,100.98,99.3,60.41,74.45,
Jamaica,1977,1.33,3.65,0.97,0.84,
Japan,1977,369.48,276.92,137.34,127.72,
Jordan,1977,0.78,0.24,1.26,0.5,
Kazakhstan,1977,,,,,
Kenya,1977,0.59,1.08,1.78,0.78,
Kiribati,1977,,,,,
Korea (North),1977,12.75,57.43,2.85,14.33,
Korea (South),1977,25.85,22.95,11.77,37.09,
Kuwait,1977,8.7,3.02,2.41,3.95,
Kyrgyzstan,1977,,,,,
Laos,1977,,,,,
Latvia,1977,,,,,
Lebanon,1977,1.77,0.66,1.23,0.91,
Lesotho,1977,,,,,
Liberia,1977,,,,,
Libya,1977,5.24,1.67,3.19,0.58,
Lithuania,1977,,,,,
Luxembourg,1977,1.67,8.19,0.91,1.57,
"Macedonia, FYR",1977,2.635349419,1.798250001,1.131594712,0.405573841,
Madagascar,1977,,,,,
Malawi,1977,,,,,
Malaysia,1977,5.44,5.71,5.14,1.13,
Maldives,1977,,,,,
Mali,1977,,,,,
Malta,1977,0.46,0,0.19,0.12,
Mauritania,1977,,,,,
Mauritius,1977,,,,,
Mexico,1977,44.28,48.03,48.72,17.91,
Moldova,1977,,,,,
Mongolia,1977,,,,,
Montenegro,1977,,,,,
Morocco,1977,3.24,4.26,2.51,1.97,
Mozambique,1977,0.46,0.73,0.25,0.84,
Myanmar,1977,0.77,1.76,1.61,0.41,
Namibia,1977,,,,,
Nauru,1977,,,,,
Nepal,1977,0.04,0.05,0.09,0.11,
Netherlands,1977,43.69,35.85,22.65,46.07,
New Zealand,1977,4.76,5.03,6.61,3.01,
Nicaragua,1977,0.93,0.31,1.1,0.26,
Niger,1977,,,,,
Nigeria,1977,2.46,4.18,9.32,2.45,
Niue,1977,,,,,
Norway,1977,2.56,10.64,8.19,5.76,
Oman,1977,0.38,0.11,0.6,0.28,
Pakistan,1977,4.02,7.75,4.32,5.07,
Palau,1977,,,,,
Panama,1977,1.48,0.47,1,0.15,
Papua New Guinea,1977,,,,,
Paraguay,1977,0.26,0.11,0.68,0.05,
Peru,1977,3.38,5.71,5.75,3.54,
Philippines,1977,11.05,7.69,10.22,3.53,
Poland,1977,202.07,69.17,30.2,71.81,
Portugal,1977,3.82,6.8,5.62,2.63,
Qatar,1977,1.8,1.56,0.78,0.03,
Romania,1977,56.41,73.32,8.09,22.95,
Russian Federation,1977,,,,,
